Cortex Skill,Description,Requires 3rd Party API,Cognitive Function,Vendor,Cognitive Scale,Azure*,Google*,IBM Watson*,AWS*,Algorothmia*,Solution Pattern,Machine Learning,Deployment,Industry
Key Phrase Detection,"Identifies the important phrases and their types, present in the input text along with that phrase relevance score. The salience score or the importance score of that phrase in the input text is also provided along with the Wikipedia ID.",X,Language :: Keyphrase Extraction,"AWS, Google, IBM Watson",,,X,X,X,,GENERAL,,Cloud,All
Spell Check,This API lets you perform contextual grammar and spell checking in a given text.,X,Language :: Spell Checking,Azure,,X,,,,,GENERAL,,Cloud,All
Text To Speech,Converts user input text to spoken audio.,X,Speech :: Text to Speech,Algorithmia,,,,,,X,GENERAL,,Cloud,All
Speech To Text,Converts audio file into text. The file which is less than 1 minute use synchronous speech recognition.,X,Speech :: Speech to Text,Google,,,X,,,,GENERAL,,Cloud,All
Car make and model recognition,"This algorithm will classify cars by their make, model, body style and model year from given images.",X,Vision :: Labeling,Algorithmia,,,,,,X,GENERAL,"Style :: Supervised, Function :: Deep Learning",Cloud,Commerce
Color Identification,An image properties request returns the dominant colors in the image as RGB values and percent of the total pixel count.,,Vision :: Color Detection,"Google, Azure",,X,X,,,,ENGAGE,,,All
Image Similarity,Compares two images for similarity score.,X,Vision,Algorithmia,,,,,,X,GENERAL,,Cloud,All
Text Moderation,"Use content filtering to detect potential profanity in more than 100 languages, flag text that may be deemed inappropriate depending on context, and match text against your custom lists. Content Moderator also helps check for personally identifiable information (PII).",X,Language :: Understanding,Azure,,X,,,,,ENGAGE :: Personalized User Engagement,,Cloud,All
Image Moderation,"Enhance your ability to detect potentially offensive or unwanted images through machine learning-based classifiers, custom lists, and optical character recognition (OCR).",X,Vision,,,,,,,,ENGAGE :: Personalized User Engagement,,Cloud,All
Video Moderation,Enable machine-assisted detection of possible adult and racy content in videos.,X,Vision,,,,,,,,ENGAGE :: Personalized User Engagement,,Cloud,All
Detect Places in Images,"Classifies places like amusement_arcade,apartment_building,outdoor,aquarium in an image.",X,Vision :: Labeling,Algorithmia,,,,,,X,GENERAL,,Cloud,All
Detecting Landmarks in Images,Landmark requests detect well-known natural and human-made landmarks.,X,Vision :: Labeling,Google,,,X,,,,GENERAL,,Cloud,All
Clothing Recognition,"This algorithm detects clothing items in images; it returns a list of discovered clothing articles as well as annotating the input image with bounding boxes for each found article. The list of article like t-shirt, jewellery, boots etc.",,Vision :: Segmentation,Algorithmia,,,,,,X,ENGAGE :: Personalized User Engagement,,Cloud,Commerce
Face Detection,"Identifies all the faces that are present in an image, with confidence score for each face and recognizes Facial attributes including age, gender, smile intensity.",X,Vision :: Segmentation,"Azure, Google, IBM Watson",,X,X,X,,,GENERAL,,Cloud,All
Image Captioning,This operation extracts a rich set of visual features based on the image content.,X,Vision :: Captioning,Azure,,X,,,,,GENERAL,,Cloud,All
Image Crop Hints,Crop hints requests return the coordinates of a bounding box that surrounds the dominant object or face in an image.,X,Vision :: Segmentation,Google,,,X,,,,GENERAL,,Cloud,All
Number Plate Recognition,Using neural networks to build an automatic number plate recognition system.,X,Vision :: Segmentation,Algorithmia,,,,,,X,GENERAL,,Cloud,All
Object Identification,Detects the objects in an image.,X,Vision :: Segmentation,"AWS, IBM Watson",,,,X,X,,GENERAL,,Cloud,All
Skin Color Detection,"Gets possible values of skin color for the detected people in a pictures, only one face should be in an image.",X,Vision :: Color Detection,Algorithmia,,,,,,X,GENERAL,,Cloud,All
Image Search,Search the web for images.,X,Knowledge :: Search,Azure,,X,,,,,GENERAL,,Cloud,All
Video Object Detection,Returns list of all the objects that are identified in the given input video.,X,Vision,Google,,,X,,,,GENERAL,,Cloud,All
Video Scene Analysis,Detects the Scene Changes in a given video,X,Vision,Google,,,X,,,,GENERAL,,Cloud,All
Hourly Weather Forecast,You can request an hourly weather forecast for the next 48 hours starting from the current time,X,,IBM Watson,,,,X,,,GENERAL,,Cloud,All
News Insights,Quickly find insights in the News data collected in recent news articles. Explore a company details,X,,IBM Watson,,,,X,,,GENERAL,,Cloud,Financial Services
Personality Insights,"Personality Insights derives insights from transactional and social media data to identify psychological traits which determine purchase decisions, intent and behavioral traits, utilized to improve conversion rates",X,Language :: Emotion,IBM Watson,,,,X,,,,,,All
Product Affinity Analysis,A scalable method for finding frequent patterns within large datasets.,X,,Algorithmia,,,,,,X,ENGAGE :: Personalized User Engagement,,Cloud,Commerce
Company Sentiment,Equity news sentiment for smarter investment decisions. News Sentiment is derived from millions of web sources.,X,Language :: Sentiment,Algorithmia,,,,,,X,AMPLIFY :: Risk & Opportunity Surveillance,,Cloud,Financial Services
Suitable match,Finds a stable matching in which there is no pair of elements where both members prefer their partner in a different matching over their partner in the stable matching.,X,,Algotrithmia,,,,,,X,,,Cloud,
Time series anomaly detection,"Anomaly detection algorithm best used for IoT, Fraud detection and IT Ops.",X,,Algotrithmia,,,,,,X,,,Cloud,All
Time series deseasonalize,Removes seasonal components from a time series.,X,,Algorithmia,,,,,,X,,,Cloud,All
Time series detrend,"Takes a time series dataset, fits a linear trend to the data, and returns the dataset with the linear trend subtracted out.",X,,Algorithmia,,,,,,X,,,Cloud,All
Time series moving average,"Returns the Simple, Exponential and Cumulative Moving Averages of a time series. This can be used to smooth a time series.",X,,Algorithmia,,,,,,X,,,Cloud,All
TIme series summary,"Time series summary takes time series data as an input and gives the summary statistics of the time series like Mean, Variance, Standard Deviation, min value, max value, slope, intercept value etc.., . These will be helpful in basic understanding of the time series that data that has been provided.",X,,Algorithmia,,,,,,X,,,Cloud,All
News article extraction,Extract news article metadata and clean text from HTML.,,Language :: Text Cleansing,,,,,,,,AMPLIFY :: Risk & Opportunity Surveillance,,On-prem,All
News article cleaning,Clean news article title and text to remove metadata that confuses NLP skills.,,Language :: Text Cleansing,,,,,,,,AMPLIFY :: Risk & Opportunity Surveillance,,On-prem,Financial Services
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
**coming soon,,,,,,,,,,,,,,
